            stats
parameter             mean           sd          2.5%          25%          50%          75%
  log_lik[9]    1.95551129  0.171039900   1.615661653   1.84418078   1.95769735   2.07316741
  log_lik[10]  -0.75370193  0.179129564  -1.122599736  -0.86624804  -0.74770994  -0.63017029
  log_lik[11]  -0.06630775  0.073976628  -0.220868592  -0.11090382  -0.05915487  -0.01504182
  log_lik[12]   0.53044066  0.056701955   0.416825675   0.49385310   0.53055509   0.56904325
  log_lik[13]   1.18966282  0.080421489   1.035201779   1.13554951   1.18804781   1.24209567
  log_lik[14]   1.62979791  0.131469240   1.348930525   1.54452157   1.63788700   1.72158602
  log_lik[15]   1.50648402  0.097127176   1.292552186   1.44663113   1.51350693   1.57629052
  log_lik[16]   1.14569336  0.061311666   1.016084178   1.10967642   1.14912848   1.18471448
  log_lik[17]  -0.62892067  0.128207604  -0.887045978  -0.71755688  -0.62597718  -0.54027053
  log_lik[18]   0.18363816  0.110183999  -0.035776816   0.10992654   0.18248870   0.25813075
  log_lik[19]   0.84674472  0.064545284   0.719657818   0.80482364   0.84655861   0.88847479
  log_lik[20]   1.53152164  0.134107637   1.249800639   1.44207965   1.53562310   1.62507032
  log_lik[21]   1.50241526  0.104686983   1.286315467   1.43330040   1.50786113   1.57493380
  log_lik[22]   0.39206664  0.098295728   0.207316049   0.32237700   0.39101137   0.45661404
  log_lik[23]   0.66224817  0.191156248   0.245974476   0.54305059   0.67501968   0.79588297
  log_lik[24]  -0.30091342  0.088163369  -0.472489795  -0.36059164  -0.30317742  -0.24062254
  log_lik[25]  -0.07281835  0.141663741  -0.363981481  -0.16644618  -0.07400957   0.02040588
  likel        17.34391176  0.086490505  17.139208912  17.29578265  17.35553216  17.40734183
  EAIC        -16.68782351  0.172981009 -16.953159957 -16.81468366 -16.71106431 -16.59156529
  EBIC         -5.71794109  0.172981009  -5.983277533  -5.84480123  -5.74118189  -5.62168287
  lp__        433.59719677  2.162257754 428.479742519 432.39397003 433.88766871 435.18292078
             stats
parameter           97.5%
  alpha         3.6424895
  delta        -9.5629459
  beta[1]       6.6888814
  beta[2]      -4.5060998
  beta[3]      -5.9584319
  epsilon[1]   32.2993877
  epsilon[2]    6.3850428
  epsilon[3]  -10.5675388
  epsilon[4]   -0.5103194
  mu[1]         0.8368848
  mu[2]         0.5494631
  mu[3]         0.5530288
  mu[4]         0.2345562
  mu[5]         0.6866732
  mu[6]         0.7806676
  mu[7]         0.2665451
  mu[8]         0.4387742
  mu[9]         0.8079022
  mu[10]        0.6767807
  mu[11]        0.3443186
  mu[12]        0.5047011
  mu[13]        0.5438573
  mu[14]        0.5441978
  mu[15]        0.1182661
  mu[16]        0.7919970
  mu[17]        0.2722071
  mu[18]        0.1725597
  mu[19]        0.5781981
  mu[20]        0.6271341
  mu[21]        0.5662290
  mu[22]        0.6270235
  mu[23]        0.3176024
  mu[24]        0.3772178
  mu[25]        0.6881921
  phi[1]        5.0490215
  phi[2]       19.5063680
  phi[3]       12.0954773
  phi[4]       10.6744241
  phi[5]       38.7626433
  phi[6]       40.1622454
  phi[7]       12.7228016
  phi[8]        8.4400181
  phi[9]      161.3334132
  phi[10]      15.8758806
  phi[11]       9.0342014
  phi[12]       6.2102628
  phi[13]      29.8835276
  phi[14]      67.4695790
  phi[15]       5.0397168
  phi[16]       4.3916449
  phi[17]       5.4515277
  phi[18]       5.3692846
  phi[19]      11.5920068
  phi[20]      68.7387792
  phi[21]      47.5344054
  phi[22]       5.2959201
  phi[23]       4.6384283
  phi[24]       3.6211288
  phi[25]       1.5549884
  A[1]          4.2000897
  A[2]         10.3159033
  A[3]          6.5565343
  A[4]          2.2736311
  A[5]         26.0514228
  A[6]         30.2696608
  A[7]          3.0917424
  A[8]          3.5425900
  A[9]        129.4347854
  A[10]        10.4149316
  A[11]         2.9214090
